species,breed_type,body_weight_kg,daily_milk_yield_kg,milk_fat_percent,fcm_4pct_kg,req_dmi_kg_per_day,req_tdn_kg_per_day,req_me_mj_per_day,req_cp_g_per_day,req_calcium_g_per_day,req_phosphorus_g_per_day,icar_standard_reference
Buffalo,Murrah_and_Indigenous_Buffalo,600,24,6.5,33.0,22.44,15.46,233.4,3557.3,146.7,100.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,600,24,7.5,36.6,22.44,16.69,252.0,3888.5,159.3,109.4,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,650,0,6.5,0.0,14.95,4.51,68.1,553.5,33.8,23.4,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,650,0,7.5,0.0,14.95,4.51,68.1,553.5,33.8,23.4,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,650,6,6.5,8.25,17.11,7.31,110.4,1312.5,62.7,43.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,650,6,7.5,9.15,17.11,7.62,115.1,1395.3,65.8,45.4,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,650,12,6.5,16.5,19.27,10.12,152.8,2071.5,91.5,63.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,650,12,7.5,18.3,19.27,10.73,162.0,2237.1,97.8,67.3,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,650,18,6.5,24.75,21.43,12.92,195.1,2830.5,120.4,82.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,650,18,7.5,27.45,21.43,13.84,209.0,3078.9,129.9,89.3,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,650,24,6.5,33.0,23.59,15.73,237.5,3589.5,149.3,102.6,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,650,24,7.5,36.6,23.59,16.95,255.9,3920.7,161.9,111.2,ICAR-2013/2024 Dairy Nutrition Guidelines
