Feed-ID,Experiment-ID,Feed-code-within-experiment,Experiment-number,Feed-name,Feed-category,Detailed-feed-category-INRA2018,Dry-matter-(g/kg),Organic-matter-(g/kg-DM)-,Ash-(g/kg-DM),Crude-protein-(g/kg-DM),Crude-fibre-(g/kg-DM),NDF-(g/kg-DM),ADF-(g/kg-DM),ADL-(g/kg-DM),Starch-(g/kg-DM)
E26_F04,E26,F04,1702a,"Maize silage period 2, neutral temperature",forage,maize_silage,280.0,959.0,40.6,64.0,,545.0,263.0,25.7,
E26_F05,E26,F05,1702a,"Maize silage period 3, high temperature",forage,maize_silage,291.0,956.0,44.1,65.0,,572.0,283.0,28.2,
E26_F06,E26,F06,1702a,"Maize silage period 3, neutral temperature",forage,maize_silage,291.0,962.0,37.8,60.0,,573.0,253.0,25.4,
E26_F07,E26,F07,1702a,"Maize silage period 4, high temperature",forage,maize_silage,308.0,963.0,36.9,62.0,,513.0,244.0,21.4,
E26_F08,E26,F08,1702a,"Maize silage period 4, neutral temperature",forage,maize_silage,301.0,960.0,40.2,65.0,,515.0,255.0,20.0,
E26_F09,E26,F09,1702a,Mix concentrate period 1,concentrate,compound_feeds,896.0,952.0,47.6,109.0,,318.0,112.0,15.9,
E26_F10,E26,F10,1702a,Mix concentrate period 2,concentrate,compound_feeds,867.0,950.0,49.8,114.0,,301.0,109.0,15.8,
E26_F11,E26,F11,1702a,Mix concentrate period 3,concentrate,compound_feeds,903.0,953.0,47.3,116.0,,281.0,103.0,15.9,
E26_F12,E26,F12,1702a,Mix concentrate period 4,concentrate,compound_feeds,897.0,954.0,46.4,122.0,,260.0,97.0,13.0,
E26_F13,E26,F13,1702a,Soyabean meal period 1,concentrate,oil_seed_meals,897.0,927.0,73.2,502.0,,391.0,77.0,6.7,
E26_F14,E26,F14,1702a,Soyabean meal period 2,concentrate,oil_seed_meals,897.0,927.0,72.8,505.0,,269.0,74.0,7.6,
E26_F15,E26,F15,1702a,Soyabean meal period 3,concentrate,oil_seed_meals,898.0,917.0,83.0,499.0,,297.0,93.0,6.7,
E26_F16,E26,F16,1702a,Soyabean meal period 4,concentrate,oil_seed_meals,902.0,931.0,69.0,494.0,,283.0,78.0,6.5,
E26_F17,E26,F17,1702a,Urea,concentrate,other_products,1000.0,1000.0,0.0,2875.0,,,,,
E26_F18,E26,F18,1702a,Minerals,concentrate,minerals_and_vitamins,1000.0,0.0,1000.0,0.0,,,,,
E27_F01,E27,F01,1702b,"Maize silage period 1, high temperature",forage,maize_silage,322.0,957.0,43.3,62.0,,474.0,235.0,19.0,
E27_F02,E27,F02,1702b,"Maize silage period 1, neutral temperature",forage,maize_silage,316.0,958.0,41.7,60.0,,513.0,244.0,20.8,
E27_F03,E27,F03,1702b,"Maize silage period 2, high temperature",forage,maize_silage,284.0,959.0,41.2,67.0,,509.0,248.0,23.9,
E27_F04,E27,F04,1702b,"Maize silage period 2, neutral temperature",forage,maize_silage,280.0,959.0,40.6,64.0,,545.0,263.0,25.7,
E27_F05,E27,F05,1702b,"Maize silage period 3, high temperature",forage,maize_silage,291.0,956.0,44.1,65.0,,572.0,283.0,28.2,
E27_F06,E27,F06,1702b,"Maize silage period 3, neutral temperature",forage,maize_silage,291.0,962.0,37.8,60.0,,573.0,253.0,25.4,
E27_F07,E27,F07,1702b,"Maize silage period 4, high temperature",forage,maize_silage,308.0,963.0,36.9,62.0,,513.0,244.0,21.4,
E27_F08,E27,F08,1702b,"Maize silage period 4, neutral temperature",forage,maize_silage,301.0,960.0,40.2,65.0,,515.0,255.0,20.0,
E27_F09,E27,F09,1702b,Mix concentrate period 1,concentrate,compound_feeds,896.0,952.0,47.6,109.0,,318.0,112.0,15.9,
E27_F10,E27,F10,1702b,Mix concentrate period 2,concentrate,compound_feeds,867.0,950.0,49.8,114.0,,301.0,109.0,15.8,
E27_F11,E27,F11,1702b,Mix concentrate period 3,concentrate,compound_feeds,903.0,953.0,47.3,116.0,,281.0,103.0,15.9,
E27_F12,E27,F12,1702b,Mix concentrate period 4,concentrate,compound_feeds,897.0,954.0,46.4,122.0,,260.0,97.0,13.0,
E27_F13,E27,F13,1702b,Soyabean meal period 1,concentrate,oil_seed_meals,897.0,927.0,73.2,502.0,,391.0,77.0,6.7,
E27_F14,E27,F14,1702b,Soyabean meal period 2,concentrate,oil_seed_meals,897.0,927.0,72.8,505.0,,269.0,74.0,7.6,
E27_F15,E27,F15,1702b,Soyabean meal period 3,concentrate,oil_seed_meals,898.0,917.0,83.0,499.0,,297.0,93.0,6.7,
E27_F16,E27,F16,1702b,Soyabean meal period 4,concentrate,oil_seed_meals,902.0,931.0,69.0,494.0,,283.0,78.0,6.5,
E27_F17,E27,F17,1702b,Urea,concentrate,other_products,1000.0,1000.0,0.0,2875.0,,,,,
E27_F18,E27,F18,1702b,Minerals,concentrate,minerals_and_vitamins,1000.0,0.0,1000.0,0.0,,,,,
E28_F01,E28,F01,1901,Maize silage period 1,forage,maize_silage,335.0,960.0,40.5,65.0,,409.0,200.0,18.2,
E28_F02,E28,F02,1901,Maize silage period 2,forage,maize_silage,319.0,958.0,41.7,70.0,,400.0,221.0,18.2,
E28_F03,E28,F03,1901,Maize silage period 3,forage,maize_silage,321.0,958.0,42.0,69.0,,406.0,213.0,17.9,
E28_F04,E28,F04,1901,Maize silage period 4,forage,maize_silage,314.0,958.0,41.8,67.0,,411.0,230.0,19.5,
E28_F05,E28,F05,1901,Soyabean meal period 1,concentrate,oil_seed_meals,892.0,929.0,70.8,489.0,,269.0,74.0,4.0,
E28_F06,E28,F06,1901,Soyabean meal period 2,concentrate,oil_seed_meals,901.0,931.0,69.3,499.0,,186.0,67.0,4.3,
E28_F07,E28,F07,1901,Soyabean meal period 3,concentrate,oil_seed_meals,903.0,931.0,68.8,504.0,,201.0,63.0,4.9,
E28_F08,E28,F08,1901,Soyabean meal period 4,concentrate,oil_seed_meals,903.0,927.0,72.8,498.0,,200.0,58.0,3.7,
E28_F09,E28,F09,1901,Mix concentrate period 1,concentrate,compound_feeds,901.0,953.0,47.3,115.0,,242.0,94.0,10.7,
E28_F10,E28,F10,1901,Mix concentrate period 2,concentrate,compound_feeds,905.0,955.0,45.4,118.0,,225.0,75.0,9.9,
E28_F11,E28,F11,1901,Mix concentrate period 3,concentrate,compound_feeds,908.0,952.0,47.7,124.0,,216.0,79.0,10.0,
E28_F12,E28,F12,1901,Mix concentrate period 4,concentrate,compound_feeds,874.0,955.0,45.3,115.0,,215.0,84.0,9.8,
E28_F13,E28,F13,1901,Minerals,concentrate,minerals_and_vitamins,1000.0,0.0,1000.0,0.0,,,,,
